Name,Organization,Project 
Angie Ortiz Giraldo,freifunk,Freifunk is part of a global movement for free infrastructure. Our vision is the democratization of media with free networks. Wireless communities implement this idea worldwide.
Shuai Wang,Ceph,"An open-source storage platform, that implements storage on a single distributed computer cluster, and provides a 3-in-1 interfaces for object-, block- and file-level storage."
Steph Prince,INCF,"INCF enables open and FAIR neuroscience by developing and endorsing standards and best practices, and by providing training in neuroinformatics and data management."
Aayush Sahu,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
SKefalidis,Xfce,"Xfce is a lightweight desktop environment for UNIX-like operating systems. It aims to be fast and low on system resources, while still being visually appealing and user friendly."
Jaidyn Levesque,Haiku,"Haiku is an open-source operating system that specifically targets personal computing. Inspired by the BeOS, Haiku is fast, simple to use, easy to learn and yet very powerful."
Justin Fargnoli,Swift,"Swift is a general-purpose programming language built using a modern approach to safety, performance, and software design patterns."
Rohit Verma,Xiph.Org Foundation,"The Xiph.Org Foundation is a non-profit dedicated to developing free, open protocols and software for multimedia on the Internet."
Khuda Dad Nomani,Postman,Postman provides solutions for all stages of the API lifecycle. Our open source modules power core features and give developers the flexibility to work in different environments.
Krishna Kariya,The LLVM Compiler Infrastructure,The LLVM Project is a collection of modular and reusable compiler and toolchain technologies.
Vishal Mishra,Xiph.Org Foundation,"The Xiph.Org Foundation is a non-profit dedicated to developing free, open protocols and software for multimedia on the Internet."
peymaneh,Debian,"Debian is a free operating system (OS). It provides more than an OS, coming with over 51,000 software packages bundled in a nice format for easy installation on your machine."
Tushar Kumar-2,LibreOffice,"LibreOffice is a lively and diverse community, delivering a full-featured cross-platform office suite. We value new contributors, just as we prize Open Source and Open Standards."
Aswin C,Rizin,"Rizin - portable reverse engineering framework and a toolset supporting various platforms, architectures and file formats."
Xiaoyu Qiu,syslog-ng,Open source log management solution with over a million users worldwide.
Ritik Malik,CHAOSS Project,CHAOSS is an open source project focused on creating analytics and metrics to help define community health. The CHAOSS Project community is organized around software and metrics.
Maanas Talwar,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
sgeisler,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
Davide Pietrasanta,VideoLAN,The VideoLAN project is led by and composed of a team of volunteers who believe in the power of open source to rock the multimedia world.
Amarthya Sasi Kiran,RoboComp,RoboComp is a modern open-source Robotics framework.
Swapnil Tripathi,KDE Community,"The KDE community produces Free and Open Source Software and brings together artists, designers, programmers, translators, users, writers and other contributors from everywhere"
Mengan Wang,Project WikiLoop,WikiLoop is an umbrella for a series of projects contributing to open knowledge at scale. Tibetan Initiative branch focuses on preserving precious knowledge of human civilization.
Matthew Joyce,RTEMS Project,"RTEMS is an operating system used in satellites, particle accelerators, robots, racing motorcycles, building controls, medical devices, and more."
Luca Ferranti,The Julia Language,A fresh approach to Technical Computing
Bisakh Mondal,Chromium,"Chromium is an open-source project that aims to provide fast, seamless, safe, and reliable computing experiences for all."
Daksh Doshi,Sugar Labs,"We make tools that learners use to explore, discover, create, and
reflect. We encourage our users to appropriate them, taking ownership
and responsibility for their learning."
Angela Remolina,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Aashwin Vaish,ScummVM,ScummVM is a FOSS game preservation project focused on reliving games by providing a replacement for their executables on modern platforms.
Shashwat Jaiswal,Checkstyle,Checkstyle is a development tool to help programmers write Java code that is easy to read and adheres to a coding standard.
Riya Kalra,openSUSE Project,"The openSUSE project is a community effort to enhance and promote the use of Linux. openSUSE creates one of the world's best Linux distributions, as well as a variety of tools."
Mohit Bhat,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Himanshu Garg,MIT App Inventor,"MIT App Inventor is a free, open source web app that anyone can use to build mobile apps."
Smriti Tiwari,GeomScale,"GeomScale is a research and development project that delivers open source code in the intersection of data science, optimization, geometric and statistical computing."
Asela Dasanayaka,SCoRe Lab,SCoRe Lab is a research lab that seeks sustainable solutions for various problems in developing countries.
Kartikey Rawat,TensorFlow,TensorFlow is an open-source machine learning framework for everyone.
peb,Python Software Foundation,"Python is a popular high-level programming language used by scientists, developers, and
many others who want to work more quickly and integrate systems more effectively."
Natáli Anzanello,openastronomy,OpenAstronomy is an umbrella organisation that includes open source projects used by researchers and engineers around the world to better understand the universe.
